lake,year,month,sample_id,site,hypo_temp_c,hypo_DO_mgL,hypo_DO_sat,core_id,core_unique,sediment_sa_m2,water_height_pre_m,water_height_post_m,doy,pH,temp_c,DO_mgL,DO_sat,TP_mgL_1,TP_mgL_2,vol_replace_L,replace_TP_mgL_1,replace_TP_mgL_2
Green Valley,2020,February,C20041040401,4,4.2,1.11,8.6,1,1,0.001735,0.232,NA,40,6.84,6.2,7.63,61.5,0.2914,0.235,0.095,0.0466,0.0502
Green Valley,2020,February,C20041040402,4,4.2,1.11,8.6,2,2,0.001735,0.256,NA,40,6.92,6.3,10.9,88.4,0.2812,0.2764,0.097,0.0466,0.0502
Green Valley,2020,February,C20041040403,4,4.2,1.11,8.6,3,3,0.001735,0.23,NA,40,7.03,6.5,10.9,89.2,0.2208,0.1959,0.097,0.0466,0.0502
Green Valley,2020,February,C200410401004,10,3.2,12.61,94.3,4,4,0.001735,0.23,NA,40,7.34,6.5,11.79,96,0.1242,0.0925,0.097,0.068,0.0673
Green Valley,2020,February,C200410401005,10,3.2,12.61,94.3,5,5,0.001735,0.226,NA,40,7.42,6.9,11.91,97.7,0.1047,0.1066,0.097,0.068,0.0673
Green Valley,2020,February,C200410401006,10,3.2,12.61,94.3,6,6,0.001735,0.286,NA,40,7.54,6.2,12.1,98.6,0.1567,0.1709,0.097,0.068,0.0673
Green Valley,2020,February,C20041041401,4,4.2,1.11,8.6,1,1,0.001735,0.232,NA,41,6.89,6.2,8.22,66.5,0.1501,0.1514,0.097,0.0453,0.0445
Green Valley,2020,February,C20041041402,4,4.2,1.11,8.6,2,2,0.001735,0.256,NA,41,6.93,6.5,10.71,87.3,0.1727,0.1697,0.097,0.0453,0.0445
Green Valley,2020,February,C20041041403,4,4.2,1.11,8.6,3,3,0.001735,0.23,NA,41,7.07,6.5,10.26,83.6,0.1402,0.1482,0.097,0.0453,0.0445
Green Valley,2020,February,C200410411004,10,3.2,12.61,94.3,4,4,0.001735,0.23,NA,41,7.26,6.9,11.92,98.2,0.0964,0.0928,0.14,0.0572,0.0549
Green Valley,2020,February,C200410411005,10,3.2,12.61,94.3,5,5,0.001735,0.226,NA,41,7.62,7.3,12.11,100.6,0.0901,0.0957,0.097,0.0572,0.0549
Green Valley,2020,February,C200410411006,10,3.2,12.61,94.3,6,6,0.001735,0.286,NA,41,7.8,5.9,12.16,102.3,0.0954,0.0958,0.097,0.0572,0.0549
Green Valley,2020,February,C20041042401,4,4.2,1.11,8.6,1,1,0.001735,0.232,NA,42,6.98,5.7,2.4,19.1,0.0987,0.1134,0.097,0.0435,0.0433
Green Valley,2020,February,C20041042402,4,4.2,1.11,8.6,2,2,0.001735,0.256,NA,42,7.5,5.5,1.1,8.8,0.0976,0.1332,0.097,0.0435,0.0433
Green Valley,2020,February,C20041042403,4,4.2,1.11,8.6,3,3,0.001735,0.23,NA,42,7.4,5.6,6.33,50.5,0.1367,0.1326,0.097,0.0435,0.0433
Green Valley,2020,February,C200410421004,10,3.2,12.61,94.3,4,4,0.001735,0.23,NA,42,7.82,6,11.84,95.4,0.0736,0.0833,0.097,0.0558,0.0543
