lake,year,month,sample_id,site,hypo_temp_c,hypo_DO_mgL,hypo_DO_sat,core_id,core_unique,doy,pH,temp_c,DO_mgL,DO_sat,PrrTP
Green Valley,2020,February,C20041042401,4,4.2,1.11,8.6,1,1,42,6.98,5.7,2.4,19.1,-4.452561383
Green Valley,2020,February,C20041043401,4,4.2,1.11,8.6,1,1,43,7.49,5.1,1.57,12.1,7.319022478
Green Valley,2020,February,C20041044401,4,4.2,1.11,8.6,1,1,44,8.3,5.2,1.37,10.6,15.20524957
Green Valley,2020,February,C20041042402,4,4.2,1.11,8.6,2,2,42,7.5,5.5,1.1,8.8,-7.223647262
Green Valley,2020,February,C20041043402,4,4.2,1.11,8.6,2,2,43,8.19,5.1,0.77,6,-1.478639769
Green Valley,2020,February,C20041044402,4,4.2,1.11,8.6,2,2,44,8.33,5.3,0.9,7,21.36068703
Green Valley,2020,February,C20041042403,4,4.2,1.11,8.6,3,3,42,7.4,5.6,6.33,50.5,3.355142651
Green Valley,2020,February,C20041043403,4,4.2,1.11,8.6,3,3,43,8.32,5.4,0.94,7.5,34.36908501
Green Valley,2020,February,C20041044403,4,4.2,1.11,8.6,3,3,44,8.32,5.7,1.18,9.4,33.04085447
Green Valley,2020,February,C200410401004,10,3.2,12.61,94.3,4,4,40,7.34,6.5,11.79,96,NA
Green Valley,2020,February,C200410411004,10,3.2,12.61,94.3,4,4,41,7.26,6.9,11.92,98.2,-0.887053314
Green Valley,2020,February,C200410421004,10,3.2,12.61,94.3,4,4,42,7.82,6,11.84,95.4,-0.603837176
Green Valley,2020,February,C200410431004,10,3.2,12.61,94.3,4,4,43,8.07,6,11.3,90.9,11.03724207
Green Valley,2020,February,C200410441004,10,3.2,12.61,94.3,4,4,44,8.14,6.2,10.9,88.2,-9.420193084
Green Valley,2020,February,C200410401005,10,3.2,12.61,94.3,5,5,40,7.42,6.9,11.91,97.7,NA
Green Valley,2020,February,C200410411005,10,3.2,12.61,94.3,5,5,41,7.62,7.3,12.11,100.6,-0.757004323
Green Valley,2020,February,C200410421005,10,3.2,12.61,94.3,5,5,42,7.77,6.6,12.1,98.9,-0.979498271
Green Valley,2020,February,C200410431005,10,3.2,12.61,94.3,5,5,43,8.09,6.6,12.6,98.4,-2.760350144
Green Valley,2020,February,C200410441005,10,3.2,12.61,94.3,5,5,44,8.27,6.8,12.02,98.6,0.180838617
Green Valley,2020,February,C200410401006,10,3.2,12.61,94.3,6,6,40,7.54,6.2,12.1,98.6,NA
Green Valley,2020,February,C200410411006,10,3.2,12.61,94.3,6,6,41,7.8,5.9,12.16,102.3,-14.12966686
Green Valley,2020,February,C200410421006,10,3.2,12.61,94.3,6,6,42,7.92,5.7,12.42,99.1,3.226452738
Green Valley,2020,February,C200410431006,10,3.2,12.61,94.3,6,6,43,8.06,5.8,12.43,99.4,-1.281066859
Green Valley,2020,February,C200410441006,10,3.2,12.61,94.3,6,6,44,8.12,6.3,12.36,100.1,-2.44652536
Green Valley,2020,April,C20041118401,4,11.9,5.84,54.3,1,7,118,6.98,11.9,8.42,77.8,NA
Green Valley,2020,April,C20041119401,4,11.9,5.84,54.3,1,7,119,6.83,12.7,6.64,63.1,4.762424207
Green Valley,2020,April,C20041120401,4,11.9,5.84,54.3,1,7,120,6.8,12.2,6.5,60.7,2.165426513
Green Valley,2020,April,C20041121401,4,11.9,5.84,54.3,1,7,121,6.85,12.4,6.82,64,0.674565778
Green Valley,2020,April,C20041118402,4,11.9,5.84,54.3,2,8,118,7.03,11.2,9.44,86.1,NA
Green Valley,2020,April,C20041119402,4,11.9,5.84,54.3,2,8,119,6.98,11.4,8.5,77.8,6.253983285
Green Valley,2020,April,C20041120402,4,11.9,5.84,54.3,2,8,120,7,10.8,8.91,80.6,-2.390843372
Green Valley,2020,April,C20041121402,4,11.9,5.84,54.3,2,8,121,6.99,11,8.73,79.3,1.742133429
Green Valley,2020,April,C20041118403,4,11.9,5.84,54.3,3,9,118,6.94,10.8,7.46,67.1,NA
Green Valley,2020,April,C20041119403,4,11.9,5.84,54.3,3,9,119,7.01,10.9,5.76,52.5,7.506271326
Green Valley,2020,April,C20041120403,4,11.9,5.84,54.3,3,9,120,7.13,10.4,6.61,59.3,-1.628029395
