sample_id,year,lake,month,doy,site,lab_rep,sed_g,HCl_L,dilution_L,jar_g,pre_g,post_g,titrant_L,pH,dil_fac,TP_mgL,TP_dup_mgL
C20-041-039-4-sample,2020,Green Valley,February,39,4,sample,0.215,0.05,0.05,92.5,142.5,157.2,0.013,2.66,10,0.6264,0.6316
C20-041-039-4-duplicate,2020,Green Valley,February,39,4,duplicate,0.2155,0.05,0.05,93.3,143.4,160,0.015,3.08,10,0.6058,0.6106
C20-041-117-4-sample,2020,Green Valley,April,117,4,sample,0.2306,0.05,0.05,92.2,142.3,154.6,0.011,2.69,10,0.8144,0.8147
C20-041-117-4-duplicate,2020,Green Valley,April,117,4,duplicate,0.2122,0.05,0.05,92.3,142.5,160.4,0.015,2.26,10,0.6478,0.6428
C20-041-181-4-sample,2020,Green Valley,June,181,4,sample,0.2415,0.05,0.05,92.5,142.9,158.9,0.0142,2.02,10,0.714,0.7052
C20-041-181-4-duplicate,2020,Green Valley,June,181,4,duplicate,0.2094,0.05,0.05,92,142.3,159.7,0.0156,2.01,10,0.6191,0.6091
C20-041-223-4-sample,2020,Green Valley,August,223,4,sample,0.2332,0.05,0.05,92.1,142.3,157.5,0.0139,2.11,10,0.8814,0.8837
C20-041-223-4-duplicate,2020,Green Valley,August,223,4,duplicate,0.218,0.05,0.05,92,142.3,158,0.014,2.07,10,0.8247,0.8145
C20-041-117-1-sample,2020,Green Valley,April,117,1,sample,0.2531,0.05,0.05,93.7,143.1,151.9,0.0082,2.09,5,0.6982,0.6908
C20-041-117-1-duplicate,2020,Green Valley,April,117,1,duplicate,0.2061,0.05,0.05,92.4,141.6,149,0.0069,2.08,5,0.5984,0.5964
C20-041-181-1-sample,2020,Green Valley,June,181,1,sample,0.2131,0.05,0.05,92.4,144.6,153.2,0.008,2.42,5,0.4976,0.4967
C20-041-181-1-duplicate,2020,Green Valley,June,181,1,duplicate,0.2506,0.05,0.05,92,141.3,147.2,0.0055,2.14,5,0.7047,0.7044
C20-041-223-1-sample,2020,Green Valley,August,223,1,sample,0.2443,0.05,0.05,93.8,143.5,158.6,0.0135,2.17,5,0.585,0.5476
C20-041-223-1-duplicate,2020,Green Valley,August,223,1,duplicate,0.2111,0.05,0.05,91.9,141.9,157,0.0135,2.49,5,0.5088,0.5128
C20-041-039-10-sample,2020,Green Valley,February,39,10,sample,0.2028,0.05,0.05,92.2,141.8,157.5,0.014,2.08,5,0.4232,0.4166
C20-041-039-10-duplicate,2020,Green Valley,February,39,10,duplicate,0.2298,0.05,0.05,92.2,142.1,155.9,0.0125,2.38,5,0.5364,0.5429
C20-041-117-10-sample,2020,Green Valley,April,117,10,sample,0.1989,0.05,0.05,92.3,142.5,158.2,0.0141,2.02,5,0.7045,0.7127
C20-041-117-10-duplicate,2020,Green Valley,April,117,10,duplicate,0.2322,0.05,0.05,91.8,141.6,158.3,0.015,2.2,5,0.8128,0.8274
C20-041-181-10-sample,2020,Green Valley,June,181,10,sample,0.2373,0.05,0.05,91.7,141.8,157.8,0.0145,2.1,5,0.8398,0.8532
C20-041-181-10-duplicate,2020,Green Valley,June,181,10,duplicate,0.2343,0.05,0.05,93.2,143.2,154.3,0.01,2.4,5,0.6692,0.6664
C20-041-223-10-sample,2020,Green Valley,August,223,10,sample,0.2436,0.05,0.05,92.6,142.8,158.4,0.014,2.77,5,0.8701,0.8582
C20-041-223-10-duplicate,2020,Green Valley,August,223,10,duplicate,0.2047,0.05,0.05,93.6,142.9,151.3,0.008,2.68,5,0.3349,0.3381
C20-041-298-4-sample,2020,Green Valley,October,298,4,sample,0.2018,0.05,0.05,92.4,142.7,159.3,0.015,2.91,10,0.8549,0.8492
C20-041-298-4-duplicate,2020,Green Valley,October,298,4,duplicate,0.1991,0.05,0.05,92,142.3,147.6,0.0051,2.01,10,0.8253,0.8217
C20-041-298-10-sample,2020,Green Valley,October,298,10,sample,0.2043,0.05,0.05,91.9,141.8,159.4,0.016,2.14,10,0.3948,0.3914
C20-041-298-10-duplicate,2020,Green Valley,October,298,10,duplicate,0.2181,0.05,0.05,91.9,142.3,159.8,0.016,1.98,10,0.4229,0.4228
C20-041-298-1-sample,2020,Green Valley,October,298,1,sample,0.2088,0.05,0.05,92.2,142.6,158.1,0.014,1.91,10,0.1867,0.1866
C20-041-298-1-duplicate,2020,Green Valley,October,298,1,duplicate,0.2068,0.05,0.05,94.5,144.9,161.3,0.015,1.9,10,0.0635,0.0645
