year,lake,month,doy,site,mean_TP_ug
2020,Green Valley,February,39,4,1885.775188
2020,Green Valley,February,39,10,715.4607244
2020,Green Valley,April,117,1,820.9175086
2020,Green Valley,April,117,4,2131.214872
2020,Green Valley,April,117,10,1174.130369
2020,Green Valley,June,181,1,733.1513916
2020,Green Valley,June,181,4,1954.560465
2020,Green Valley,June,181,10,1023.672422
2020,Green Valley,August,223,1,771.5983023
2020,Green Valley,August,223,4,2465.886744
2020,Green Valley,August,223,10,821.7197152
2020,Green Valley,October,298,1,394.7534007
2020,Green Valley,October,298,4,2546.900416
2020,Green Valley,October,298,10,1303.690755
