sample_id,year,lake,month,doy,site,lab_rep,TP_ug
C20-041-039-4-sample,2020,Green Valley,February,39,4,sample,1892.851163
C20-041-039-4-duplicate,2020,Green Valley,February,39,4,duplicate,1878.699214
C20-041-117-4-sample,2020,Green Valley,April,117,4,sample,2199.760064
C20-041-117-4-duplicate,2020,Green Valley,April,117,4,duplicate,2062.669679
C20-041-181-4-sample,2020,Green Valley,June,181,4,sample,1935.548326
C20-041-181-4-duplicate,2020,Green Valley,June,181,4,duplicate,1973.572604
C20-041-223-4-sample,2020,Green Valley,August,223,4,sample,2465.21504
C20-041-223-4-duplicate,2020,Green Valley,August,223,4,duplicate,2466.558447
C20-041-117-1-sample,2020,Green Valley,April,117,1,sample,808.1949814
C20-041-117-1-duplicate,2020,Green Valley,April,117,1,duplicate,833.6400358
C20-041-181-1-sample,2020,Green Valley,June,181,1,sample,679.324189
C20-041-181-1-duplicate,2020,Green Valley,June,181,1,duplicate,786.9785942
C20-041-223-1-sample,2020,Green Valley,August,223,1,sample,755.5822038
C20-041-223-1-duplicate,2020,Green Valley,August,223,1,duplicate,787.6144008
C20-041-039-10-sample,2020,Green Valley,February,39,10,sample,681.4742297
C20-041-039-10-duplicate,2020,Green Valley,February,39,10,duplicate,749.4472191
C20-041-117-10-sample,2020,Green Valley,April,117,10,sample,1169.198019
C20-041-117-10-duplicate,2020,Green Valley,April,117,10,duplicate,1179.062719
C20-041-181-10-sample,2020,Green Valley,June,181,10,sample,1176.611169
C20-041-181-10-duplicate,2020,Green Valley,June,181,10,duplicate,870.7336748
C20-041-223-10-sample,2020,Green Valley,August,223,10,sample,1162.449341
C20-041-223-10-duplicate,2020,Green Valley,August,223,10,duplicate,480.9900899
C20-041-298-4-sample,2020,Green Valley,October,298,4,sample,2807.838056
C20-041-298-4-duplicate,2020,Green Valley,October,298,4,duplicate,2285.962777
C20-041-298-10-sample,2020,Green Valley,October,298,10,sample,1301.391329
C20-041-298-10-duplicate,2020,Green Valley,October,298,10,duplicate,1305.99018
C20-041-298-1-sample,2020,Green Valley,October,298,1,sample,584.4163835
C20-041-298-1-duplicate,2020,Green Valley,October,298,1,duplicate,205.0904179
