sample_id,year,lake,month,doy,site,lab_rep,wet_g,MCfrac,NaCl_L,NaCl_TP1_mgL,NaCl_TP2_mgL,NaCl_dil,BD_L,BD_TP1_mgL,BD_TP2_mgL,BD_dil,NaOH_L,NaOH_TP1_mgL,NaOH_TP2_mgL,NaOH_TP_dil,NaOH_SRP1_mgL,NaOH_SRP2_mgL,NaOH_SRP_dil
C20-041-039-4-01,2020,Green Valley,February,39,4,1,4.2123,0.8525,0.1,0.0161,0.0145,10,0.2,0.3902,0.3837,10,0.15,0.2712,0.2797,10,0.4316,0.4304,5
C20-041-039-4-02,2020,Green Valley,February,39,4,2,3.8782,0.8525,0.1,0.011,0.0117,10,0.2,0.3694,0.3695,10,0.15,0.2138,0.2166,10,0.292,0.3014,5
C20-041-039-4-03,2020,Green Valley,February,39,4,3,4.2786,0.8525,0.1,0.0122,0.0122,10,0.2,0.3299,0.3188,10,0.15,0.3157,0.31,10,0.5438,0.5457,5
C20-041-039-10-01,2020,Green Valley,February,39,10,1,3.2397,0.6936,0.1,0.0122,0.0051,5,0.2,0.1614,0.1647,10,0.15,0.1451,0.1511,10,0.178,0.1857,5
C20-041-039-10-02,2020,Green Valley,February,39,10,2,2.5545,0.6936,0.1,0.0013,0.0007,10,0.2,0.1389,0.1412,10,0.15,0.1109,0.1138,10,0.1255,0.1236,5
C20-041-039-10-03,2020,Green Valley,February,39,10,3,2.2528,0.6936,0.1,0.0082,0.0122,5,0.2,0.1178,0.1198,10,0.15,0.1182,0.1175,10,0.1416,0.1441,5
C20-041-117-4-01,2020,Green Valley,April,117,4,1,3.6742,0.8607,0.1,0.1199,0.1187,1,0.2,0.3041,0.2908,10,0.15,0.2348,0.2331,10,0.378,0.378,5
C20-041-117-4-02,2020,Green Valley,April,117,4,2,3.5757,0.8607,0.1,0.1422,0.1351,1,0.2,0.297,0.3013,10,0.15,0.22,0.2214,10,0.3743,0.3738,5
C20-041-117-4-03,2020,Green Valley,April,117,4,3,3.9205,0.8607,0.1,0.1123,0.1135,1,0.2,0.2942,0.2982,10,0.15,0.2615,0.2644,10,0.4432,0.4556,5
C20-041-117-10-01,2020,Green Valley,April,117,10,1,2.6259,0.7815,0.1,0.0424,0.0459,1,0.2,0.1613,0.1647,10,0.15,0.167,0.1704,10,0.2771,0.2838,5
C20-041-117-10-02,2020,Green Valley,April,117,10,2,2.6611,0.7815,0.1,0.0566,0.0482,1,0.2,0.1486,0.1537,10,0.15,0.1912,0.1909,10,0.3387,0.3506,5
C20-041-117-10-03,2020,Green Valley,April,117,10,3,3.0837,0.7815,0.1,0.06,0.0572,1,0.2,0.3238,0.3397,5,0.15,0.2154,0.2149,10,0.3852,0.3716,5
C20-041-117-1-01,2020,Green Valley,April,117,1,1,2.3042,0.717,0.1,0.0579,0.0767,1,0.2,0.2952,0.2727,5,0.15,0.1072,0.1072,10,0.1561,0.1599,5
C20-041-117-1-02,2020,Green Valley,April,117,1,2,2.5949,0.717,0.1,0.0705,0.0716,1,0.2,0.3044,0.3817,5,0.15,0.125,0.1236,10,0.1855,0.1887,5
C20-041-117-1-03,2020,Green Valley,April,117,1,3,2.6323,0.717,0.1,0.0583,0.0581,1,0.2,0.3051,0.2984,5,0.15,0.1221,0.1238,10,0.1849,0.1848,5
C20-041-181-4-01,2020,Green Valley,June,181,4,1,3.737,0.8681,0.1,0.1178,0.1084,1,0.2,0.2481,0.249,10,0.15,0.3087,0.3126,10,0.4528,0.457,5
