sample_id,year,lake,month,doy,site,lab_rep,looseP_mg,looseP_ug,redoxP_mg,redoxP_ug,AlP_mg,AlP_ug,orgP_mg,orgP_ug
C20-041-039-4-01,2020,Green Valley,February,39,4,1,0.02462522,24.62521985,1.245585467,1245.585467,0.520268125,520.2681252,0.144733523,144.7335225
C20-041-039-4-02,2020,Green Valley,February,39,4,2,0.019841461,19.84146061,1.291705308,1291.705308,0.389006257,389.0062575,0.175295371,175.2953712
C20-041-039-4-03,2020,Green Valley,February,39,4,3,0.019331525,19.33152536,1.027898402,1027.898402,0.647388224,647.3882238,0.096202068,96.20206831
C20-041-039-10-01,2020,Green Valley,February,39,10,1,0.00435705,4.357050112,0.328516541,328.5165414,0.13739819,137.3981901,0.086398037,86.39803705
C20-041-039-10-02,2020,Green Valley,February,39,10,2,0.001277631,1.27763068,0.357864353,357.8643534,0.119346676,119.3466759,0.095966034,95.96603444
C20-041-039-10-03,2020,Green Valley,February,39,10,3,0.007388543,7.388542532,0.344219158,344.219158,0.155213721,155.2137207,0.100886202,100.8862021
C20-041-117-4-01,2020,Green Valley,April,117,4,1,0.023309155,23.30915525,1.162331639,1162.331639,0.553909934,553.909934,0.131736781,131.7367806
C20-041-117-4-02,2020,Green Valley,April,117,4,2,0.027836055,27.83605481,1.201176458,1201.176458,0.56322086,563.2208602,0.101411375,101.4113753
C20-041-117-4-03,2020,Green Valley,April,117,4,3,0.020672898,20.67289826,1.084732058,1084.732058,0.617165665,617.1656651,0.105058241,105.0582407
C20-041-117-10-01,2020,Green Valley,April,117,10,1,0.007694866,7.694866391,0.56818266,568.1826599,0.366595461,366.5954608,0.074443257,74.44325724
C20-041-117-10-02,2020,Green Valley,April,117,10,2,0.009011947,9.011947452,0.519906816,519.9068158,0.444556444,444.5564441,0.04830593,48.30593016
C20-041-117-10-03,2020,Green Valley,April,117,10,3,0.008697092,8.697091795,0.492365222,492.3652223,0.421200452,421.2004525,0.057770358,57.77035804
C20-041-117-1-01,2020,Green Valley,April,117,1,1,0.010320683,10.32068342,0.435446962,435.4469623,0.181723772,181.7237719,0.064868486,64.86848566
C20-041-117-1-02,2020,Green Valley,April,117,1,2,0.009675135,9.675134713,0.467143556,467.1435557,0.191085613,191.0856128,0.062810076,62.81007581
C20-041-117-1-03,2020,Green Valley,April,117,1,3,0.0078127,7.81270031,0.40506569,405.0656904,0.186105368,186.1053676,0.061464607,61.46460746
C20-041-181-4-01,2020,Green Valley,June,181,4,1,0.022945351,22.94535131,1.008499924,1008.499924,0.692164477,692.164477,0.253190083,253.1900835
C20-041-181-4-02,2020,Green Valley,June,181,4,2,0.024007177,24.00717723,1.304338413,1304.338413,0.743617539,743.6175386,0.227813466,227.8134656
C20-041-181-4-03,2020,Green Valley,June,181,4,3,0.020864545,20.86454528,0.992864568,992.8645685,0.666721732,666.7217324,0.217381839,217.3818387
C20-041-181-10-01,2020,Green Valley,June,181,10,1,0.003947003,3.94700304,0.545862123,545.8621225,0.263973324,263.9733239,0.158999839,158.9998388
C20-041-181-10-02,2020,Green Valley,June,181,10,2,0.011193236,11.19323581,0.516864124,516.8641241,0.314513466,314.5134656,0.141577972,141.5779723
C20-041-181-10-03,2020,Green Valley,June,181,10,3,0.008356566,8.356565772,0.408722811,408.7228107,0.28617601,286.1760096,0.14741176,147.4117598
C20-041-181-1-01,2020,Green Valley,June,181,1,1,0.007033676,7.033675947,0.274235785,274.2357846,0.128826818,128.8268175,0.122038803,122.038803
C20-041-181-1-02,2020,Green Valley,June,181,1,2,0.001887049,1.887049053,0.371037957,371.0379567,0.13417654,134.1765398,0.124496223,124.4962233
C20-041-181-1-03,2020,Green Valley,June,181,1,3,0.005672642,5.672641764,0.282940951,282.940951,0.128870512,128.8705121,0.120417372,120.417372
C20-041-223-4-01,2020,Green Valley,August,223,4,1,0.033273991,33.27399108,0.771133319,771.133319,0.785291137,785.2911371,0.195995346,195.9953458
C20-041-223-4-02,2020,Green Valley,August,223,4,2,0.013395518,13.3955177,0.678523978,678.523978,0.965297408,965.2974078,0.239068984,239.0689842
C20-041-223-4-03,2020,Green Valley,August,223,4,3,0.013387594,13.38759434,0.692863393,692.8633931,0.856141405,856.1414054,0.268606414,268.6064141
C20-041-223-10-01,2020,Green Valley,August,223,10,1,0.014312007,14.31200731,0.298093262,298.0932623,0.327663004,327.6630043,0.115189592,115.1895919
C20-041-223-10-02,2020,Green Valley,August,223,10,2,0.010103339,10.10333902,0.372528244,372.528244,0.259811249,259.8112489,0.139581515,139.5815145
C20-041-223-10-03,2020,Green Valley,August,223,10,3,0.011509147,11.50914678,0.397287463,397.2874627,0.260154056,260.1540557,0.118138877,118.1388769
C20-041-223-1-01,2020,Green Valley,August,223,1,1,0.003907097,3.907096538,0.218623757,218.6237574,0.144334658,144.3346579,0.091458618,91.45861812
C20-041-223-1-02,2020,Green Valley,August,223,1,2,0.005259421,5.259420579,0.199106636,199.1066362,0.162188236,162.1882359,0.095437992,95.43799225
C20-041-223-1-03,2020,Green Valley,August,223,1,3,0.003816464,3.81646392,0.184315121,184.3151207,0.151794831,151.7948308,0.105454924,105.4549241
C20-041-298-4-01,2020,Green Valley,October,298,4,1,0.053160082,53.1600818,1.870002182,1870.002182,0.835537807,835.5378075,0.452322957,452.3229569
C20-041-298-4-02,2020,Green Valley,October,298,4,2,0.0297083,29.70830009,1.139046344,1139.046344,0.709302778,709.3027777,0.392437061,392.4370608
C20-041-298-4-03,2020,Green Valley,October,298,4,3,0.03756542,37.56542014,1.427073913,1427.073913,0.802986609,802.9866089,0.426164926,426.1649263
C20-041-298-10-01,2020,Green Valley,October,298,10,1,0.013236894,13.23689387,0.598200638,598.2006382,0.364866957,364.8669572,0.254760067,254.7600673
C20-041-298-10-02,2020,Green Valley,October,298,10,2,0.012089102,12.08910176,0.555149421,555.1494213,0.380890464,380.8904637,0.255755697,255.7556967
C20-041-298-10-03,2020,Green Valley,October,298,10,3,0.013615609,13.61560933,0.574784846,574.7848462,0.374171591,374.1715905,0.259442452,259.4424522
C20-041-298-1-01,2020,Green Valley,October,298,1,1,0.003977689,3.977689142,0.197094497,197.094497,0.092182946,92.18294586,0.13163665,131.63665
C20-041-298-1-02,2020,Green Valley,October,298,1,2,0.002835539,2.835538507,0.153799609,153.7996086,0.095541445,95.54144462,0.118096128,118.0961281
C20-041-298-1-03,2020,Green Valley,October,298,1,3,0.002684718,2.684717986,0.152123039,152.1230387,0.100553394,100.5533945,0.119972306,119.9723056
