project,year,doy,siteID,depthID,sampleDepth,SRP_ugL,flagSRP,TP_ugL,flagTP,TN_mgL,flagTN,NOx_mgL,flagNOx,microcystin_ugL,flagMC,TSS_mgL,flagTSS,VSS_mgL,flagVSS,ISS_mgL,flagISS
sediment,2020,39,4,1,0.25,NA,b,42.65,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
sediment,2020,39,4,4,6.25,NA,b,53.9,,NA,b,0.32,,NA,b,5.5,,NA,b,NA,b
sediment,2020,39,10,1,0.25,NA,b,49.55,,NA,b,NA,b,NA,b,NA,b,NA,b,NA,b
sediment,2020,39,10,4,3.5,NA,b,54.2,,NA,b,0.38,,NA,b,7.5,,4.5,,3,
sediment,2020,117,1,1,0.25,7.05,,39.5,,0.97,,0.68,,NA,b,1.081395349,,NA,b,NA,b
sediment,2020,117,1,4,1.9,9.3,,45.55,,0.85,,0.73,,NA,b,9.5,,NA,b,NA,b
sediment,2020,117,4,1,0.25,1.85,,35,,0.61,,0.6,,NA,b,5.476190476,,NA,b,NA,b
sediment,2020,117,4,4,5.5,21.95,,58.5,,0.66,,0.36,,NA,b,1.5,,NA,b,NA,b
sediment,2020,117,10,1,0.25,5.5,,33.65,,0.76,,0.61,,NA,b,12.20481928,,NA,b,NA,b
sediment,2020,117,10,4,3.5,7.3,,43.7,,0.78,,0.67,,NA,b,3,,NA,b,NA,b
beachMonitoring,2020,140,9,1,0.25,3.55,,79.7,,0.42,,0.46,,0,a,NA,b,NA,b,NA,b
beachMonitoring,2020,147,9,1,0.25,3.55,,184.5,,0.42,,0.46,,4.06,,NA,b,NA,b,NA,b
beachMonitoring,2020,154,9,1,0.25,0.7,,81.05,,0.98,,0.57,,0,a,NA,b,NA,b,NA,b
sediment,2020,156,1,1,0.25,0.9,,103.55,,1.66,,1.09,,NA,b,12.2,,9.6,,2.6,
sediment,2020,156,1,4,2,5.85,,91.4,,1.67,,1.23,,NA,b,10.2,,6.6,,3.6,
sediment,2020,156,4,1,0.25,0.2,,71.6,,0.98,,0.58,,NA,b,8.4,,7.2,,1.2,
sediment,2020,156,4,4,5,31.55,,83.35,,1.09,,0.66,,NA,b,4,,2.2,,1.8,
sediment,2020,156,10,1,0.25,0.2,,98.45,,1.1,,0.65,,NA,b,13.4,,11.4,,2,
sediment,2020,156,10,4,3.5,59.25,,137.8,,1.03,,0.42,,NA,b,7,,2.2,,4.8,
beachMonitoring,2020,161,9,1,0.25,2.1,,81.2,,0.83,,0.58,,1.1,,NA,b,NA,b,NA,b
beachMonitoring,2020,168,9,1,0.25,6.05,,142.8,,0.97,,0.56,,0.91,,NA,b,NA,b,NA,b
beachMonitoring,2020,175,9,1,0.25,34.25,,171.55,,0.95,,0.46,,3.08,,NA,b,NA,b,NA,b
sediment,2020,181,1,1,0.25,66.9,,251.15,,1.32,,0.12,,NA,b,36.66666667,,25.66666667,,11,
sediment,2020,181,1,4,2,71.6,,243.55,,0.99,,0.14,,NA,b,30.33333333,,18.66666667,,11.66666667,
sediment,2020,181,4,1,0.25,59.6,,178.65,,0.72,,0.11,,NA,b,15,,13,,2,
sediment,2020,181,4,4,5,68.65,,172.95,,0.85,,0.06,,NA,b,16.41666667,,14.75,,1.666666667,
beachMonitoring,2020,181,9,1,0.25,56.1,,173.9,,0.83,,0.52,,3.23,,NA,b,NA,b,NA,b
sediment,2020,181,10,1,0.25,62.95,,327.35,,0.94,,0.05,,NA,b,22,,17,,5,
sediment,2020,181,10,4,3.5,63.3,,206,,0.97,,0.01,,NA,b,22.13333333,,15.33333333,,6.8,
beachMonitoring,2020,189,9,1,0.25,13.4,,215.7,,1.69,,0.56,,7.44,,NA,b,NA,b,NA,b
beachMonitoring,2020,195,9,1,0.25,27.85,,188.45,,1.28,,0.56,,4.26,,NA,b,NA,b,NA,b
beachMonitoring,2020,203,9,1,0.25,98.85,,275,,1.19,,0.42,,3.13,,NA,b,NA,b,NA,b
beachMonitoring,2020,210,9,1,0.25,121.9,,353.05,,1.52,,0.42,,3.83,,NA,b,NA,b,NA,b
beachMonitoring,2020,218,9,1,0.25,131.3,,322.2,,1,,0.42,,2.74,,NA,b,NA,b,NA,b
sediment,2020,223,1,1,0.25,173.05,,376.4,,1.27,,0.11,,NA,b,51,,28.5,,22.5,
sediment,2020,223,1,4,1.75,168.45,,370.9,,1.29,,0.12,,NA,b,43.5,,21,,22.5,
sediment,2020,223,4,1,0.25,116.55,,330.3,,1.06,,0.11,,NA,b,38,,19,,19,
sediment,2020,223,4,4,5,116.3,,317.95,,1.27,,0.08,,NA,b,32,,17.5,,14.5,
sediment,2020,223,10,1,0.25,133.95,,343.6,,1.4,,0.1,,NA,b,41,,29.5,,11.5,
sediment,2020,223,10,4,3.4,131.2,,333.95,,1.24,,0.07,,NA,b,40,,20,,20,
beachMonitoring,2020,224,9,1,0.25,128.2,,346.7,,1.05,,0.56,,1.87,,NA,b,NA,b,NA,b
